listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
255000.0,Apartamento,Novo para o Mercado,Para Obras,C,1955.0,Cruz Quebrada-Dafundo,False,0,0.0,False,2.0,1.0,1.0,48.0,40.0
268000.0,Apartamento,Novo para o Mercado,Para Obras,C,1955.0,Cruz Quebrada-Dafundo,False,0,0.0,False,3.0,2.0,1.0,56.0,44.0
430000.0,Apartamento,Novo para o Mercado,Razoável,B-,1986.0,Carnaxide,False,0,5.0,True,6.0,5.0,4.0,170.0,169.0
1250000.0,Moradia,Novo para o Mercado,,C,1988.0,Algés,False,3,,True,20.0,9.0,8.0,620.0,620.0
160000.0,Terreno,Novo para o Mercado,,NC,,Porto Salvo,False,0,,False,,,0.0,,
835000.0,Moradia,Novo para o Mercado,Bom estado,B-,2010.0,Barcarena,True,2,,False,7.0,5.0,4.0,167.0,140.0
323000.0,Apartamento,Novo para o Mercado,,D,1983.0,Algés,False,0,0.0,False,,2.0,1.0,89.0,89.0
340000.0,Apartamento,Novo para o Mercado,,C,1987.0,Linda A Velha,False,0,3.0,True,5.0,4.0,3.0,135.0,135.0
690000.0,Moradia,Novo para o Mercado,,C,2003.0,Porto Salvo,True,3,,False,,4.0,3.0,204.0,186.0
1250000.0,Moradia,Novo para o Mercado,Como novo,B-,2003.0,Barcarena,True,3,,,6.0,6.0,5.0,179.0,130.0
620000.0,Moradia,Novo para o Mercado,,B,2013.0,Paço De Arcos,False,0,,False,3.0,3.0,2.0,108.0,90.0
995000.0,Apartamento,Novo para o Mercado,Novo,A,2024.0,Algés,False,3,6.0,True,5.0,4.0,4.0,215.0,170.0
250000.0,Terreno,Novo para o Mercado,,NC,,Porto Salvo,False,0,,,,,0.0,,
298000.0,Apartamento,Novo para o Mercado,Para Obras,C,1955.0,Cruz Quebrada-Dafundo,False,0,2.0,False,3.0,2.0,1.0,56.0,45.0
300000.0,Terreno,Novo para o Mercado,,NC,,Oeiras,False,0,,,,,0.0,,
265000.0,Apartamento,Novo para o Mercado,,D,1990.0,Oeiras,False,0,1.0,False,4.0,3.0,1.0,84.0,74.0
350000.0,Moradia,Novo para o Mercado,,D,1979.0,Linda A Velha,False,0,,,5.0,4.0,4.0,102.0,90.0
490000.0,Apartamento,Novo para o Mercado,Novo,C,1957.0,Paço De Arcos,False,0,1.0,False,3.0,3.0,2.0,65.0,58.0
316000.0,Apartamento,Novo para o Mercado,Para Obras,C,1955.0,Cruz Quebrada-Dafundo,False,0,0.0,False,4.0,3.0,1.0,73.0,57.0
65000.0,Terreno,Novo para o Mercado,,NC,,Paço De Arcos,False,0,,False,,,0.0,,
1075000.0,Terreno,Novo para o Mercado,,NC,,Caxias,False,0,,True,,,0.0,,
329000.0,Apartamento,Novo para o Mercado,Bom estado,C,1994.0,Barcarena,True,1,2.0,False,4.0,3.0,2.0,113.0,86.0
725000.0,Apartamento,Novo para o Mercado,Novo,NC,2023.0,Algés,False,2,8.0,True,4.0,3.0,2.0,146.0,135.0
295000.0,Apartamento,Novo para o Mercado,,D,1981.0,Paço De Arcos,False,0,4.0,True,,2.0,1.0,85.0,85.0
329000.0,Apartamento,Novo para o Mercado,,D,1984.0,Carnaxide,False,1,2.0,False,4.0,3.0,2.0,85.0,81.0
599000.0,Apartamento,Novo para o Mercado,Bom estado,C,1982.0,Algés,False,0,2.0,True,5.0,4.0,2.0,150.0,106.0
375000.0,Moradia,Novo para o Mercado,,D,1985.0,Porto Salvo,True,3,,,6.0,4.0,2.0,142.0,142.0
350000.0,Terreno,Novo para o Mercado,,NC,,Oeiras,False,0,,,,,0.0,,
2170000.0,Moradia,Novo para o Mercado,,A,2018.0,Carnaxide,True,2,,False,6.0,5.0,5.0,406.0,296.0
390000.0,Moradia,Novo para o Mercado,,E,2008.0,Linda A Velha,False,0,,,3.0,2.0,2.0,85.0,85.0
673000.0,Apartamento,Novo para o Mercado,Novo,NC,2025.0,Algés,False,2,8.0,True,3.0,2.0,2.0,146.0,94.0
610000.0,Moradia,Novo para o Mercado,Usado,E,1985.0,Paço De Arcos,False,0,1.0,False,4.0,3.0,3.0,590.0,120.0
585000.0,Apartamento,Novo para o Mercado,Bom estado,C,2003.0,Carnaxide,False,3,4.0,True,4.0,3.0,3.0,135.0,110.0
850000.0,Moradia,Novo para o Mercado,,D,2000.0,Paço De Arcos,True,2,,,7.0,4.0,5.0,150.0,135.0
1149000.0,Apartamento,Novo para o Mercado,,A,2024.0,Algés,False,2,7.0,True,5.0,4.0,4.0,215.0,170.0
890000.0,Terreno,Novo para o Mercado,,NC,,Oeiras,False,0,,False,,,,351.0,
214500.0,Apartamento,Novo para o Mercado,,D,1952.0,Cruz Quebrada-Dafundo,False,0,2.0,False,,2.0,1.0,60.0,60.0
18900.0,Garagem,Novo para o Mercado,,NC,1997.0,Algés,False,0,0.0,,,,,12.0,
290000.0,Apartamento,Novo para o Mercado,Bom estado,NC,1987.0,Paço De Arcos,False,0,0.0,True,3.0,2.0,1.0,82.0,78.0
510000.0,Apartamento,Novo para o Mercado,Usado,E,1984.0,Caxias,False,0,1.0,True,4.0,3.0,2.0,130.0,130.0
610000.0,Prédio,Novo para o Mercado,,E,1968.0,Cruz Quebrada-Dafundo,False,0,,False,7.0,4.0,5.0,200.0,90.0
1200000.0,Prédio,Novo para o Mercado,Usado,B,1961.0,Algés,False,0,,False,,,0.0,263.0,263.0
289000.0,Apartamento,Novo para o Mercado,,F,1988.0,Queijas,False,0,3.0,False,,2.0,1.0,89.0,76.0
1149000.0,Moradia,Novo para o Mercado,,NC,2024.0,Barcarena,False,2,,,,4.0,4.0,310.0,194.0
430000.0,Apartamento,Novo para o Mercado,,F,1982.0,Paço De Arcos,False,0,10.0,True,,3.0,2.0,127.0,119.0
410000.0,Apartamento,Novo para o Mercado,Bom estado,B-,2006.0,Carnaxide,False,1,2.0,True,2.0,2.0,1.0,114.0,94.0
592000.0,Apartamento,Novo para o Mercado,,B,2000.0,Carnaxide,False,2,3.0,True,,4.0,3.0,241.0,168.0
430000.0,Apartamento,Novo para o Mercado,Usado,D,1991.0,Linda A Velha,True,3,2.0,False,5.0,4.0,2.0,177.0,177.0
169000.0,Apartamento,Novo para o Mercado,Como novo,E,0.0,Algés,False,0,0.0,False,2.0,1.0,1.0,45.0,40.0
895000.0,Terreno,Novo para o Mercado,,NC,,Oeiras,False,0,,,,,0.0,,
330000.0,Apartamento,Novo para o Mercado,,E,1986.0,Algés,False,0,8.0,True,2.0,1.0,1.0,79.0,79.0
890000.0,Moradia,Novo para o Mercado,,C,1983.0,Oeiras,True,1,,,,5.0,4.0,364.0,243.0
